x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
11.6,0.0015575000000000265,0.0015707409519775115,0.00028308244320605095,-1.324095197748499e-05,0.9710419580339794,0.9710419580339794,0.5465013585861778,0.05024168748760796,1233.0758378181595,0.001212553913649674,7.486410741931562e-05,2.4048770247089297e-07
11.65,0.001555000000000047,0.0015690215791168678,0.0002830902628210975,-1.4021579116820816e-05,0.9697394571363648,0.9697394571363648,0.5460885589627957,0.05020564275157823,1232.1911960933019,0.0012106171218330222,7.507320275926339e-05,2.4099170348473596e-07
11.7,0.0015691666666666955,0.0015672688217973924,0.0002830980916088911,1.8978448693030437e-06,0.9684117736168258,0.9684117736168258,0.5456672793651148,0.05016885474234478,1231.2883123014628,0.0012086461136735054,7.528311922479196e-05,2.414972902041154e-07
11.75,0.0015891666666666786,0.0015654830481241176,0.0002831059295694317,2.3683618542560958e-05,0.9670591850687066,0.9670591850687066,0.5452375784448992,0.05013132840982471,1230.367307927877,0.0012066412532994613,7.549386078593796e-05,2.420044692865724e-07
11.8,0.0015750000000000302,0.00156366463060113,0.0002831137767027193,1.1335369398900045e-05,0.9656819724027417,0.9656819724027417,0.5447995156969276,0.05009306877571145,1229.428306219376,0.0012046029092167877,7.570543143419842e-05,2.4251324742461687e-07
11.85,0.0015191666666666641,0.0015618139459729731,0.00028312163300875403,-4.2647279306309025e-05,0.9642804197274554,0.9642804197274554,0.544353151443971,0.05005408093227022,1228.471432154828,0.0012025314541502274,7.591783518264579e-05,2.430236313459477e-07
11.9,0.0015225000000000193,0.0015599313750655358,0.0002831294984875356,-3.74313750655165e-05,0.9628548142291745,0.9628548142291745,0.5438985468216174,0.05001437004112078,1227.4968124152606,0.0012004272648841435,7.613107606604312e-05,2.4353562781367487e-07
11.95,0.0015191666666666641,0.0015580173026265472,0.00028313737313906433,-3.885063595988306e-05,0.9614054460517419,0.9614054460517419,0.5434357637629509,0.04997394133200773,1226.5045753536815,0.0011982907221028967,7.634515814095979e-05,2.440492436265438e-07
12.0,0.0015825000000000422,0.0015560721171657891,0.00028314525696333993,2.642788283425306e-05,0.9599326081760192,0.9599326081760192,0.5429648649830917,0.04993280010155911,1225.4948509646108,0.0011961222102309424,7.656008548588753e-05,2.445644856191602e-07
12.05,0.0015458333333333574,0.0015540962107951427,0.00028315314996036267,-8.262877461785289e-06,0.9584365962992633,0.9584365962992633,0.5424859139636051,0.04989095171203373,1224.4677708533372,0.0011939221172727608,7.677586220135703e-05,2.450813606622179e-07
12.1,0.001555000000000047,0.0015520899790685825,0.00028316105213013233,2.9100209314645263e-06,0.9569177087144635,0.9569177087144635,0.5419989749367858,0.04984840159005792,1223.4234682049134,0.0011916908346527328,7.69924924100548e-05,2.455998756627273e-07
12.15,0.0015283333333333537,0.001550053820822229,0.0002831689634726491,-2.172048748887525e-05,0.9553762461897232,0.9553762461897232,0.5415041128698265,0.049805155225352116,1222.3620777529038,0.0011894287570550753,7.720998025694052e-05,2.461200375642459e-07
12.2,0.0015566666666667246,0.0015479881380145667,0.0002831768839879128,8.678528652157885e-06,0.9538125118477655,0.9538125118477655,0.5410013934488752,0.04976121816944799,1221.2837357478984,0.001187136282263942,7.742832990936478e-05,2.4664185334711076e-07
12.25,0.0015458333333333574,0.001545893335566939,0.00028318481367592353,-6.00022335816696e-08,0.9522268110456488,0.9522268110456488,0.5404908830629926,0.0497165960343966,1220.1885799258075,0.0011848138110037995,7.764754555718719e-05,2.471653300286722e-07
12.3,0.001543333333333378,0.0015437698212044256,0.0002831927525366813,-4.3648787104752333e-07,0.9506194512547694,0.9506194512547694,0.5399726487880131,0.049671294491468176,1219.0767494759505,0.001182461746780186,7.786763141289489e-05,2.4769047466352997e-07
12.35,0.0015266666666666762,0.0015416180052972026,0.000283200700570186,-1.4951338630526424e-05,0.9489907419412291,0.9489907419412291,0.539446758370318,0.04962531926984401,1217.9483850089512,0.0011800804957209513,7.808859171172144e-05,2.482172943437703e-07
12.4,0.0015449999999999815,0.0015394383007024913,0.0002832086577764378,5.561699297490204e-06,0.9473409944466468,0.9473409944466468,0.5389132802105291,0.04957867615530115,1216.8036285244568,0.0011776704664180882,7.831043071176615e-05,2.4874579619920515e-07
12.45,0.0015249999999999986,0.0015372311226071961,0.00028321662415543657,-1.2231122607197532e-05,0.9456705218694891,0.9456705218694891,0.5383722833471299,0.049531370988890475,1215.6426233786929,0.0011752320697702482,7.853315269411381e-05,2.4927598739761364e-07
